100 mètres	 100 metres
200 mètres	 200 metres
400 mètres	 400 metres
800 mètres	 800 metres
ACL	 afficheur à cristaux liquides — LCD
Aalandais	 A person from Åland; an Ålander
Abbevillois	 Someone from the French city of Abbeville.
Abidjanais	 Somebody from Abidjan, an Abidjanese.
Abitibien	 Someone from Abitibi; an Abitibian.
Abkhaze	 An ethnic Abkhaz person.
Abkhaze	 Someone from Abkhazia regardless of ethnicity.
Abkhazien	 A person from Abkhazia regardless of ethnicity.
Aboméen	 A person from Abomey; Abomean, Abomeyan
Aborigène	 An  w:Indigenous Australians|Indigenous Australian.
Abruzzais	 A person from the Abruzzo.
Abénaquis	 an Abenaki Native American
Acadien	 Acadian (a native of Acadia)
Africain	 an African person
Aixois	 person from any of the towns/cities in France with the name Aix
Ajaccien	 someone from Ajaccio, Corsica
Ajacéen	 someone from Ajaccio, Corsica
Akkadien	 an Akkadian person
Albanais	 Albanian
Albanaise	 (female) Albanian
Albertain	 Albertan (someone from Alberta)
Algérien	 Algerian (person)
Allemand	 German person
Alsacien	 A person from Alsace.
Amiénois	 inhabitant of Amiens, France
Américain	 American; someone born in, or a citizen or inhabitant of, the United States of America
Amérindien	 Amerindian
Ancônitain	 Anconan
Andalou	 Andalusian
Angevin	 someone of or from Anjou
Angevin	 someone of or from Angers
Anglais	 (male) English person
Angolais	 Person from Angola
Annécien	 someone of or from Annecy
Anversois	 someone from Antwerp; Antwerpian
Aostois	 Aostan
Arabe	 Arab (person)
Aragonais	 Aragonese person
Araméen	 Aramaic (person)
Ardéchois	 Someone from Ardèche
Argentin	 Argentinian, someone from Argentina
Arménien	 Armenian (person)
Artésien	 Someone from Artois
Artésien	 Someone from Artaix
Asturien	 Asturian (person)
Athénien	 Athenian (someone from Athens)
Australien	 Australian (inhabitant)
Australienne	 Australian, someone from Australia
Autrichien	 An Austrian inhabitant or descendant of the people of Austria
Auvergnat	 Inhabitant or native of Auvergne; Auvergnese
Avent	 advent (season before Christmas)
Aveyronnais	 Native or inhabitant of Aveyron
Avignonnais	 someone of or from Avignon
Axonais	 A person from Aisne
Azerbaïdjanais	 an Azerbaijani
Azéri	 an Azeri person
Açoréen	 Azorean
BCBG	 trendy, preppy; chic and conservative
BD	 comic strip
Badois	 Native or inhabitant of Baden
Bahreïni	 Bahraini person
Balinais	 A Balinese, member or descendant of the people of Bali
Bantou	 Bantu
Barbadien	 Barbadian
Batave	 Batavian
Batave	 Dutchman; Hollander
Bavarois	 Bavarian
Bavaroise	 Bavarian
Beaujolais	 A native or inhabitant of Beaujeu
Belge	 Belgian person, someone from Belgium
Berbère	 a member of the Berber ethnic group
Berlugan	 Native or inhabitant of Beaulieu-sur-Mer
Bermudien	 Bermudan
Besantin	 Someone of or from Besançon.
Bhoutanais	 Bhutanese (person from Bhutan)
Birman	 Burmese (person from Myanmar or of Burmese descent)
Biélorusse	 Belarusian (Someone from Belarus)
Blanc	 white person
Bolivien	 Bolivian (Bolivian person)
Bolivienne	 Bolivian (female Bolivian person)
Bolonais	 someone of or from Bologna
Bordelais	 An inhabitant of Bordeaux
Bosnien	 Bosnian (someone from Bosnia)
Bostonien	 Bostonian
Botswanais	 person from Botswana
Boulonnais	 A resident of Boulogne, a commune situated in the département of Vendée, France.
Boulonnais	 A resident of Boulogne-Billancourt, a commune situated in the département of Hauts-de-Seine, France.
Boulonnais	 A resident of Boulogne-sur-Gesse, a commune situated in the département of Haute-Garonne, France.
Boulonnais	 A resident of Boulogne-sur-Helpe, a commune situated in the département of Nord, France.
Boulonnais	 A resident of Boulogne-sur-Mer, a commune situated in the département of Pas-de-Calais, France.
Boulonnais	 A resident of Boulon, a commune situated in the département of Calvados, France.
Bourguignon	 Burgundian
Brestois	 someone from Brest
Britannique	 Brit, someone from Britain
Britanno-Colombien	 British Columbian (someone from British Columbia)
Brugeois	 person from, or living in Bruges, Beglium
