4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
4-Hydroxybutansäure	 gamma-hydroxybutyric acid, 4-hydroxybutanoic acid, or GHB
5-Hydroxytryptamin	 5-hydroxytryptamine, serotonin, or 5-HT
A-dur	 A major
AB	 Anrufbeantworter
ACE	 vitamine A|A+vitamine C|C+vitamine E|E(-Saft "ACE juice", from the vitamins A,C, and E. A fruit juice mixture of orange and carrot juice)
AK	 Abendkasse, (Abend + Kasse) an abbreviation often found on concert or event tickets indicating a price that has to be paid at the venue at the evening of the event, as opposed to a presale ticket price
ARD	 Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland. A joint organization of Germany's regional public-service broadcasters.
AT	 Altes Testament (OT; Old Testament)
Aal	 eel
Aal	 Bad crease or crumple
Aalbeere	 black currant
Aalfett	 eel fat
Aalhaut	 eelskin
Aalmolch	 conger eel, congo snake, a genus of aquatic salamanders, the only extant genus within the family Amphiumidae.
Aalmutter	 viviparous blenny (Zoarces viviparus)
Aalmutter	 eelpout (fish of the family ''Zoarcidae'')
Aas	 carrion
Aas	 bait
Aas	 beast
Aasen	 Dative plural of Aas.
Aasfliege	 blowfly, an insect of the family ''Calliphoridae''
Aasfliege	 a flesh-fly (Sarcophaga carnaria)
Aasfresser	 scavenger (an animal that feeds on carrion)
Aasvogel	 bird feeding on carrion
Abaka	 abaca (plant)
Abakus	 abacus (table with balls on wires or counters in groves, for counting)
Abalone	 abalone (edible univalve mollusc)
Abart	 species, kind, variety
Abasie	 abasia (incapacity to walk)
Abbau	 dismantling, demolition
Abbau	 mining
Abbau	 decomposition, separation, analysis
Abbeförderung	 dispatching, removal.
Abbeförderung	 euphemism for killing.
Abbild	 image, reflection
Abbild	 image, picture, portrayal
Abbildung	 image, figure, picture, illustration
Abbildung	 mapping
Abbindebeschleuniger	 accelerant (construction material)
Abbitte	 apology, request to be forgiven
Abblendlicht	 anti-dazzle light, low beam, dimmed light
Abbrand	 burnup
Abbrand	 combustion
Abbremsen	 braking, deceleration
Abbruch	 demolition
Abbé	 abbé
Abdampfen	 evaporation, vaporization
Abdankung	 resignation
Abdecker	 knacker (one who deals with animal cadavers)
Abdeckplatte	 panel
Abdeckung	 cover, covering
Abdeckung	 coverage
Abdruck	 imprint, impression (the mark left behind by pressing on or printing something); print (of e.g. a finger)
Abduktion	 abduction (physiology: movement separating limb from axis)
Abduktor	 abductor (muscle)
Abecedarium	 abecedarium (abecedarium)
Abeillekolibri	 The emerald-chinned hummingbird, ''Abeillia abeillei''.
Abend	 evening; the time from dusk onwards, colloquially including the first hours of the night
Abend	 eve, the day before
Abend	 The west (''poetic, Martin Luther'')
Abendappell	 Evening roll call.
Abenddämmerung	 dusk (a period of time occurring at the end of the day during which the sun sets)
Abendessen	 dinner (main meal of the day)
Abendessen	 supper
Abendgebet	 evening prayer
Abendkasse	 ticket office (an office where tickets may be purchased in the evening, immediately before the film or theatre performance)
Abendland	 occident
Abendwind	 evening wind
Abendwind	 west wind, zephyr
Abenteuer	 adventure
Abenteuerin	 An adventuress, female adventurer
Abenteuerlichkeit	 adventurousness
Abenteurer	 adventurer
Abenteurerin	 An adventuress, female adventurer
Aber	 an objection
Aberglaube	 superstition
Aberglauben	 superstition
Aberration	 aberration (deviation)
Abfahrt	 departure
Abfahrt	 slip road
Abfahrtsliste	 sailing list
Abfall	 waste, garbage, rubbish, litter
Abfall	 decrease, decline, drop
Abfalleimer	 trash can
Abfalleimer	 dustbin
Abfallprodukt	 waste product
Abfallstoff	 waste product
Abfertigung	 act of finishing
Abfertigung	 dispatch
Abfertigung	 clearance
Abfertigung	 expedition
Abfertigung	 smart rejoinder
Abfertigung	 reproof, snub
Abfertigung	 dismissal
Abfertigungsschalter	 dispatch counter
Abfeuerung	 discharge, firing (as of a gun)
Abflugzeit	 time of departure (of a plane)
Abfluss	 drain
Abfluss	 outlet
Abfolge	 succession (sequence arranged in order)
Abfrage	 query
Abführmittel	 laxative (substance with a laxative effect)
Abgabe	 tax, duty
Abgabe	 delivery, contribution
Abgang	 exit
Abgang	 departure
Abgang	 sale
Abgas	 emission, exhaust, exhaust gas, waste gas, exhaust fumes, offgas
Abgasstrom	 exhaust stream
Abgastemperatur	 exhaust gas temperature
Abgasturbine	 exhaust gas turbine
Abgeschiedenheit	 seclusion
Abgott	 idol
Abgrenzung	 demarcation
Abgrenzung	 differentiation
Abgrund	 abyss
Abhandlung	 treatise (systematic discourse on some subject)
Abholzung	 extensive cutting of trees: logging, deforestation, clear-felling
Abhängigkeit	 dependency
Abhängigkeit	 addiction
Abi	 Shortened form of Abitur.
Abitur	 Final exams that pupils take at the end of their secondary education in Germany and Finland.
Abiturient	 A pupil who is taking, or who has taken and passed, the Abitur.
Abiturientin	 a female Abiturient
Abkapselung	 encapsulation
Abklatsch	 poor copy, poor imitation
Abklärung	 clarification
Abkommen	 accord
Abkömmling	 descendant
Abkühlen	 cooling, quenching
Abkühlgeschwindigkeit	 rate of cooling
Abkühlung	 cooling
Abkürzung	 abbreviation
Abkürzung	 shortcut
Abkürzungsverzeichnis	 list of abbreviations
Ablagerung	 deposit, sediment
Ablagerung	 debris
Ablagerung	 residue
Ablass	 drain
Ablass	 cessation
Ablauf	 process, procedure
Ablauf	 expiry, expiration
Ablauf	 flow, course
Ableger	 spin-off of a parent company or parent organisation
Ablehnung	 rejection
Ableitung	 derivative (something derived)
Ableitung	 derivation
Ablenkung	 diversion
Ablenkung	 distraction
Ablösung	 removal
Ablösung	 relief, replacement
