A positivo	 A positive (blood type)
A negativo	 A negative (blood type)
Caboclo	 ''(Brasil)'' a South American descended from the indigenous peoples of Brazil
Caboclo	 ''(Brasil)'' a Brasilian of mixed Caucasian and Native American ancestry; used especially to refer to those living in the Amazon rain forest|Rain Forest.
Cão de água português	 Portuguese Water Dog
Cão d'água português	 Portuguese Water Dog
Egito	 Egypt
Feliz Natal	 Merry Christmas
PIB	 gross domestic product, GDP
Panchen Lama	 Panchen Lama
Papai Noel	 Santa Claus
Peixes	 Pisces (constellation).
Peixes	 Pisces (zodiac sign).
QI	 IQ
Salão do Reino	 Kingdom Hall
Touro	 Taurus (zodiac sign).
Wikipédia	 Wikipedia
a céu aberto	 outdoor, open-air<!-- Portuguese expression used to qualify objects, places or activities that are located or perfomed outdoors (on the open air, with no cloth, wood or brick over your head).-->
a	 her|Her, it (as a direct object; as an indirect object, see lhe; after prepositions, see ela).
a	 to
a	 at
a qual	 Feminine singular form of o qual (whom (relative pronoun))
a ponto de	 In context of being about to happen, occur or take place; about to; imminently.
a esmo	 With unpredictable outcomes; at random; randomly; haphazardly.
a menos que	 unless
a despeito de	 in spite of (despite)
a seguir	 next, after this
ab-rogar	 abrogate (to annul by an authoritative act)
aba	 tab (navigational widget in a GUI)
aba	 brim (of a hat)
abacateiro	 avocado (tree).
abacá	 abaca
abacá	 Manilla hemp
abaixamento	 depression, lowering
abaixamento	 subsidence
abaixar	 to lower; to cause something to move downwards
abaixar	 to lower; to cause something to become shorter
abaixar	 to lower; to reduce the degree, intensity, strength, etc.
abaixar	 to lower; to humble
abajur	 lampshade (cover over a lamp)
abalado	 shaken, stunned, dazed
abalado	 confused
abalado	 upset, perturbed, unsettled
abalar	 To shake
abalar	 To affect, unsettle, shock
abalizado	 authoritative, expert
abalizado	 respectable
abalroar	 To collide (with)
abalroar	 To ram
abanar	 To wag
abanar	 To fan
abandar	 To flock together
abandar	 To join a gang, band or party
abandonadamente	 abandonedly
abandonado	 abandoned
abandonado	 dirty
abandonar	 to abandon
abandonar-se	 to indulge in
abandono	 abandonment (act of abandoning)
abarbar	 To run one's hands through the beard
abarbar	 To be very busy
abarcar	 To encompass (include)
abastado	 wealthy, rich, well-off
abastado	 hearty
